[2023-10-20 18-11-22] TRAIN | Epoch 70 | Loss : 8.3100 | MAE : 83.6153 | LR : 0.020619
[2023-10-20 18-11-29] VALID | Epoch 70 | Loss : 8.2186 | MAE : 275.6733 | LR : 0.020619
[2023-10-20 18-12-00] TRAIN | Epoch 71 | Loss : 8.3100 | MAE : 83.9656 | LR : 0.019363
[2023-10-20 18-12-07] VALID | Epoch 71 | Loss : 8.2186 | MAE : 256.4626 | LR : 0.019363
[2023-10-20 18-12-39] TRAIN | Epoch 72 | Loss : 8.3100 | MAE : 84.6007 | LR : 0.018137
[2023-10-20 18-12-45] VALID | Epoch 72 | Loss : 8.2186 | MAE : 164.4364 | LR : 0.018137
[2023-10-20 18-13-16] TRAIN | Epoch 73 | Loss : 8.3100 | MAE : 83.7309 | LR : 0.016943
[2023-10-20 18-13-23] VALID | Epoch 73 | Loss : 8.2186 | MAE : 267.5173 | LR : 0.016943
[2023-10-20 18-13-54] TRAIN | Epoch 74 | Loss : 8.3100 | MAE : 84.2110 | LR : 0.015781
[2023-10-20 18-14-02] VALID | Epoch 74 | Loss : 8.2186 | MAE : 149.9270 | LR : 0.015781
[2023-10-20 18-14-35] TRAIN | Epoch 75 | Loss : 8.3100 | MAE : 83.2557 | LR : 0.014653
[2023-10-20 18-14-42] VALID | Epoch 75 | Loss : 8.2186 | MAE : 222.7267 | LR : 0.014653
[2023-10-20 18-15-13] TRAIN | Epoch 76 | Loss : 8.3100 | MAE : 83.8928 | LR : 0.013560
[2023-10-20 18-15-19] VALID | Epoch 76 | Loss : 8.2186 | MAE : 299.8642 | LR : 0.013560
[2023-10-20 18-15-51] TRAIN | Epoch 77 | Loss : 8.3100 | MAE : 84.1590 | LR : 0.012503
[2023-10-20 18-15-57] VALID | Epoch 77 | Loss : 8.2186 | MAE : 97.5232 | LR : 0.012503
[2023-10-20 18-16-28] TRAIN | Epoch 78 | Loss : 8.3100 | MAE : 84.1242 | LR : 0.011483
[2023-10-20 18-16-36] VALID | Epoch 78 | Loss : 8.2186 | MAE : 102.3083 | LR : 0.011483
[2023-10-20 18-17-08] TRAIN | Epoch 79 | Loss : 8.3100 | MAE : 84.0666 | LR : 0.010501
[2023-10-20 18-17-15] VALID | Epoch 79 | Loss : 8.2186 | MAE : 180.1874 | LR : 0.010501
[2023-10-20 18-17-46] TRAIN | Epoch 80 | Loss : 8.3100 | MAE : 83.2315 | LR : 0.009558
[2023-10-20 18-17-52] VALID | Epoch 80 | Loss : 8.2186 | MAE : 212.8379 | LR : 0.009558
[2023-10-20 18-18-24] TRAIN | Epoch 81 | Loss : 8.3100 | MAE : 82.8650 | LR : 0.008655
[2023-10-20 18-18-31] VALID | Epoch 81 | Loss : 8.2186 | MAE : 96.9894 | LR : 0.008655
[2023-10-20 18-19-05] TRAIN | Epoch 82 | Loss : 8.3100 | MAE : 83.7162 | LR : 0.007793
[2023-10-20 18-19-12] VALID | Epoch 82 | Loss : 8.2186 | MAE : 174.5057 | LR : 0.007793
[2023-10-20 18-19-43] TRAIN | Epoch 83 | Loss : 8.3100 | MAE : 83.8249 | LR : 0.006972
[2023-10-20 18-19-50] VALID | Epoch 83 | Loss : 8.2186 | MAE : 143.4248 | LR : 0.006972
[2023-10-20 18-20-21] TRAIN | Epoch 84 | Loss : 8.3100 | MAE : 84.4962 | LR : 0.006194
[2023-10-20 18-20-27] VALID | Epoch 84 | Loss : 8.2186 | MAE : 323.8553 | LR : 0.006194
